region,population_norm,cost_of_living_all,cost_of_living_work,cost_of_living_retired,cost_of_living_child,disabled_total,disabled_60_,disabled_work,morbidity,poverty_socdem_16,poverty_socdem_retired,poverty_socdem_work,poverty_percent,welfare,per_capita,formal_wage,housing_Нет_стесненности,housing_Жилая_площадь,housing_Комнат,gross_regional_product,crim_alco_nark_tox,crim_group,retail,regional_production,child_count,retired_count,lat,lon,child_mortality_newborn,drug_alco
Санкт-Петербург,5384342,11910,13074,9664,11608,10.127,28.378,4.005,101498.4,1.516,0.578,3.811,5.9,19.8,49207,49207,82.0,15.7,2.1,971158.0,3556,1950,283494,5751453550.2,947039,1508000,59.9343,30.3351,55248.0,24.1
Саратовская область,2395111,9631,10409,7975,9860,5.541,10.635,4.466,74819.3,5.772,0.37,8.658,14.8,27.7,24046,24046,81.3,17.8,2.5,358480.4,5241,1172,164665,1139328641.1,451172,744000,51.5406,46.0086,18582.0,54.300000000000004
Сахалинская область,485621,16130,17178,12903,17576,4.37,7.105,4.465,83995.5,3.457,0.932,3.311,7.7,16.5,60770,60770,84.3,17.2,2.1,2059206.5,1851,405,338787,1643728606.96,106749,163000,46.9541,142.736,5566.0,124.5
Свердловская область,4290067,10817,11550,8832,11438,6.189,12.032,5.153,75208.5,4.167,0.198,4.635,9.0,23.5,37374,37374,81.1,15.8,2.2,588270.0,11888,2874,259875,4975014366.34,937279,1348000,56.8389,60.6057,43809.0,63.1
Севастополь,509992,11396,12201,9360,12113,3.986,11.024,2.474,52350.6,4.972,0.231,5.797,11.0,13.3,29957,29957,73.5,13.7,2.2,295304.9,684,185,141383,53536295.5,85823,115000,44.6167,33.5254,4210.0,115.4
Смоленская область,921127,10752,11572,8947,10402,7.769,14.724,5.919,72034.9,5.413,1.872,8.315,15.6,27.2,28152,28152,86.8,19.4,2.3,386274.8,2300,653,186156,578653932.0,162880,303000,54.7818,32.0401,6515.0,79.5
Ставропольский край,2792796,9777,10464,7998,10076,7.401,16.121,5.934,59172.3,5.41,0.262,8.128,13.8,30.8,23911,23911,82.8,19.0,2.8,308476.2,3131,1470,185994,800106440.6,586779,744000,45.0428,41.9734,27349.0,27.6
Тамбовская область,994420,10178,10998,8661,10050,10.566,19.645,7.686,64949.8,3.618,0.821,6.361,10.8,23.9,27889,27889,84.1,19.7,2.5,378455.8,2726,645,198282,415322900.58000004,170443,349000,52.7317,41.4433,7409.0,50.1
Тверская область,1245619,11138,12041,9213,11717,7.496,14.325,5.646,86566.6,3.534,0.433,7.421,11.4,22.5,27681,27681,84.0,17.5,2.2,391722.2,3007,900,199736,887823600.3,235854,419000,56.8584,35.9006,10030.0,46.0
Томская область,1070339,11850,12566,9542,12378,5.903,11.592,5.225,70726.0,6.077,0.518,7.805,14.4,23.5,28857,28857,88.1,16.9,2.3,518179.5,3284,546,162359,709842612.8,227938,301000,56.4977,84.9744,9895.0,51.900000000000006
Тульская область,1449115,10999,11814,9336,10732,9.771,17.031,7.612,72165.3,3.919,0.535,5.656,10.1,23.3,29385,29385,82.3,16.6,2.3,486544.2,2443,759,205652,1864427781.54,244772,530000,54.1961,37.6182,10748.0,78.0
Тюменская область,1543389,11748,12376,9418,11995,5.873,13.871,4.455,64208.6,5.154,1.02,7.439,13.6,21.9,31151,31151,79.7,18.1,2.5,757076.0,5471,916,268215,1824569791.2399998,366970,406000,57.1522,65.5272,18682.0,74.4
Удмуртская Республика,1493356,10314,10930,8343,10434,6.729,13.57,5.493,99088.4,5.938,0.321,5.652,11.9,23.1,25449,25449,83.3,14.8,2.4,451490.9,6251,1114,160085,1163147110.92,340439,460000,56.8498,53.2045,14482.0,64.1
Ульяновская область,1218319,10306,11088,8466,10402,8.817,16.379,6.812,87077.9,5.76,0.465,8.775,15.0,25.3,24590,24590,87.7,17.9,2.4,360112.2,2959,516,165299,652330165.84,227134,417000,54.3142,48.4031,10303.0,121.69999999999999
Хабаровский край,1301127,15569,16510,12491,16580,4.918,9.999,4.042,67303.6,3.924,0.768,7.308,12.0,25.7,41740,41740,78.5,15.4,2.2,658239.5,4057,894,277942,1003680870.6,278203,380000,48.4802,135.0719,13681.0,145.8
Ханты-Мансийский автономный округ,1687654,15890,17140,12977,15816,3.112,5.67,3.332,90676.1,4.67,0.134,3.604,8.4,15.8,54443,54443,81.1,13.9,2.1,1994630.3,3708,780,258117,6932949792.08,426532,449000,61.0042,69.0019,20530.0,39.900000000000006
Челябинская область,3442810,11232,12056,9302,11629,6.197,12.741,4.787,88428.4,5.116,0.756,6.728,12.6,24.3,26628,26628,78.6,16.0,2.2,467537.3,11119,3425,173367,3437160808.3999996,747437,1060000,55.154,61.4291,33119.0,90.19999999999999
Чеченская Республика,1497992,11240,11572,9196,11294,11.584,6.917,27.244,52150.1,8.915,1.265,10.22,20.4,35.1,24596,24596,80.4,19.2,4.3,171029.5,154,66,123955,86985320.4,548452,419000,43.3156,45.6958,29930.0,4.699999999999999
Чувашская Республика,1207875,9804,10414,7951,9883,6.207,12.533,4.927,93394.5,3.73,0.706,12.365,16.8,24.9,21155,21155,72.0,14.2,2.3,287210.3,2670,1323,141564,506059679.4,258904,371000,56.1322,47.2515,11283.0,80.2
Чукотский автономный округ,49527,23999,24711,18524,24668,3.271,3.733,4.839,128506.5,3.752,0.216,4.032,8.0,6.4,89541,89541,79.1,14.1,1.7,2404271.2,282,14,217089,261282216.8,12622,15000,64.733,177.513,529.0,208.7
Ямало-Ненецкий автономный округ,547010,16640,17403,13093,16593,2.511,4.317,2.9,118256.9,2.448,0.034,2.323,4.8,12.6,89928,89928,78.8,15.5,2.1,5072483.6,1734,239,263114,5464620970.16,143794,144000,66.5299,66.6019,7067.0,113.6
Ярославская область,1241424,10668,11689,8665,10675,7.708,16.614,4.762,89949.9,3.158,0.228,6.514,9.9,23.5,29514,29514,75.8,15.8,2.2,495102.2,2631,698,204406,959077294.6,242440,406000,57.6261,39.8845,10544.0,52.9
