region,population_norm,cost_of_living_all,disabled_total,disabled_60_,disabled_work,morbidity,poverty_socdem_16,poverty_socdem_retired,poverty_socdem_work,poverty_percent,welfare,per_capita,formal_wage,housing_Нет_стесненности,housing_Жилая_площадь,housing_Комнат,gross_regional_product,crim_alco_nark_tox,crim_group,retail,regional_production,child_count,retired_count,lat,lon,child_mortality_newborn,drug_alco
Сахалинская область,485621,16130,4.37,7.105,4.465,83995.5,3.457,0.932,3.311,7.7,16.5,3.77,3.77,84.3,17.2,2.1,10.64,0.4,0.083,1.75,17.49,22.0,33.6,46.9541,142.736,1.1,0.026
Свердловская область,4290067,10817,6.189,12.032,5.153,75208.5,4.167,0.198,4.635,9.0,23.5,3.46,3.46,81.1,15.8,2.2,4.53,0.3,0.067,2.0,8.93,21.8,31.4,56.8389,60.6057,1.0,0.001
Севастополь,509992,11396,3.986,11.024,2.474,52350.6,4.972,0.231,5.797,11.0,13.3,2.63,2.63,73.5,13.7,2.2,2.16,0.1,0.036,1.03,0.77,16.8,22.5,44.6167,33.5254,0.8,0.023
Смоленская область,921127,10752,7.769,14.724,5.919,72034.9,5.413,1.872,8.315,15.6,27.2,2.62,2.62,86.8,19.4,2.3,2.99,0.2,0.071,1.44,4.87,17.7,32.9,54.7818,32.0401,0.7,0.009
Ставропольский край,2792796,9777,7.401,16.121,5.934,59172.3,5.41,0.262,8.128,13.8,30.8,2.45,2.45,82.8,19.0,2.8,2.63,0.1,0.053,1.59,2.44,21.0,26.6,45.0428,41.9734,1.0,0.001
Тамбовская область,994420,10178,10.566,19.645,7.686,64949.8,3.618,0.821,6.361,10.8,23.9,2.74,2.74,84.1,19.7,2.5,3.1,0.3,0.065,1.62,3.42,17.1,35.1,52.7317,41.4433,0.7,0.005
Тверская область,1245619,11138,7.496,14.325,5.646,86566.6,3.534,0.433,7.421,11.4,22.5,2.49,2.49,84.0,17.5,2.2,2.93,0.2,0.072,1.49,5.33,18.9,33.6,56.8584,35.9006,0.8,0.004
Томская область,1070339,11850,5.903,11.592,5.225,70726.0,6.077,0.518,7.805,14.4,23.5,2.44,2.44,88.1,16.9,2.3,3.64,0.3,0.051,1.14,4.66,21.3,28.1,56.4977,84.9744,0.9,0.005
Тульская область,1449115,10999,9.771,17.031,7.612,72165.3,3.919,0.535,5.656,10.1,23.3,2.67,2.67,82.3,16.6,2.3,3.69,0.2,0.052,1.56,9.75,16.9,36.6,54.1961,37.6182,0.7,0.005
Тюменская область,1543389,11748,5.873,13.871,4.455,64208.6,5.154,1.02,7.439,13.6,21.9,2.65,2.65,79.7,18.1,2.5,5.37,0.4,0.059,1.9,8.39,23.8,26.3,57.1522,65.5272,1.2,0.005
Удмуртская Республика,1493356,10314,6.729,13.57,5.493,99088.4,5.938,0.321,5.652,11.9,23.1,2.47,2.47,83.3,14.8,2.4,3.65,0.4,0.075,1.29,6.29,22.8,30.8,56.8498,53.2045,1.0,0.004
Ульяновская область,1218319,10306,8.817,16.379,6.812,87077.9,5.76,0.465,8.775,15.0,25.3,2.39,2.39,87.7,17.9,2.4,2.91,0.2,0.042,1.34,4.33,18.6,34.2,54.3142,48.4031,0.8,0.01
Хабаровский край,1301127,15569,4.918,9.999,4.042,67303.6,3.924,0.768,7.308,12.0,25.7,2.68,2.68,78.5,15.4,2.2,3.52,0.3,0.069,1.49,4.13,21.4,29.2,48.4802,135.0719,1.1,0.011
Ханты-Мансийский автономный округ,1687654,15890,3.112,5.67,3.332,90676.1,4.67,0.134,3.604,8.4,15.8,3.43,3.43,81.1,13.9,2.1,10.46,0.2,0.046,1.35,21.54,25.3,26.6,61.0042,69.0019,1.2,0.002
Челябинская область,3442810,11232,6.197,12.741,4.787,88428.4,5.116,0.756,6.728,12.6,24.3,2.37,2.37,78.6,16.0,2.2,3.47,0.3,0.099,1.29,7.41,21.7,30.8,55.154,61.4291,1.0,0.003
Чеченская Республика,1497992,11240,11.584,6.917,27.244,52150.1,8.915,1.265,10.22,20.4,35.1,2.19,2.19,80.4,19.2,4.3,1.27,0.0,0.004,0.92,0.43,36.6,28.0,43.3156,45.6958,2.0,0.0
Чувашская Республика,1207875,9804,6.207,12.533,4.927,93394.5,3.73,0.706,12.365,16.8,24.9,2.16,2.16,72.0,14.2,2.3,2.44,0.2,0.11,1.2,3.56,21.4,30.7,56.1322,47.2515,0.9,0.007
Чукотский автономный округ,49527,23999,3.271,3.733,4.839,128506.5,3.752,0.216,4.032,8.0,6.4,3.73,3.73,79.1,14.1,1.7,8.35,0.6,0.028,0.75,18.32,25.5,30.3,64.733,177.513,1.1,0.421
Ямало-Ненецкий автономный округ,547010,16640,2.511,4.317,2.9,118256.9,2.448,0.034,2.323,4.8,12.6,5.4,5.4,78.8,15.5,2.1,25.4,0.3,0.044,1.32,50.03,26.3,26.3,66.5299,66.6019,1.3,0.021
Ярославская область,1241424,10668,7.708,16.614,4.762,89949.9,3.158,0.228,6.514,9.9,23.5,2.77,2.77,75.8,15.8,2.2,3.87,0.2,0.056,1.6,6.03,19.5,32.7,57.6261,39.8845,0.8,0.004
